gateway_token,merchant_reference,transaction_date,amount,market_code,source_channel
TKN000001,1200001001,2026-04-28,160.75,GB,E_COMMERCE
TKN000002,1200001002,2026-04-28,280.35,GB,E_COMMERCE
TKN000003,1200001003,2026-04-28,448.80,GB,E_COMMERCE
TKN000004,1200001004,2026-04-28,92.95,GB,E_COMMERCE
TKN000005,1200001005,2026-04-28,160.75,GB,E_COMMERCE
TKN000006,1200001006,2026-04-28,280.35,GB,E_COMMERCE
TKN000007,1200001007,2026-04-28,448.80,GB,E_COMMERCE
TKN000008,1200001008,2026-04-28,92.95,GB,E_COMMERCE
TKN000009,1200001009,2026-04-28,160.75,GB,E_COMMERCE
TKN000010,1200001010,2026-04-28,280.35,GB,E_COMMERCE
TKN000011,1200001011,2026-04-28,448.80,GB,E_COMMERCE
TKN000012,1200001012,2026-04-28,92.95,GB,E_COMMERCE
TKN000013,1200001013,2026-04-28,160.75,GB,E_COMMERCE
TKN000014,1200001014,2026-04-27,280.35,GB,E_COMMERCE
TKN000015,1200001015,2026-04-27,448.80,GB,E_COMMERCE
TKN000016,1200001016,2026-04-27,92.95,GB,E_COMMERCE
TKN000017,1200001017,2026-04-27,160.75,GB,E_COMMERCE
TKN000018,1200001018,2026-04-27,280.35,GB,E_COMMERCE
TKN000019,1200001019,2026-04-27,448.80,GB,E_COMMERCE
TKN000020,1200001020,2026-04-27,92.95,GB,E_COMMERCE
TKN000021,1200001021,2026-04-27,160.75,GB,E_COMMERCE
TKN000022,1200001022,2026-04-27,280.35,GB,E_COMMERCE
TKN000023,1200001023,2026-04-27,448.80,GB,E_COMMERCE
TKN000024,1200001024,2026-04-27,92.95,GB,E_COMMERCE
TKN000025,1200001025,2026-04-27,160.75,GB,E_COMMERCE
TKN000026,1200001026,2026-04-27,219.10,GB,E_COMMERCE
TKN000027,1200001027,2026-04-27,326.60,GB,E_COMMERCE
TKN000028,1200001028,2026-04-27,519.25,GB,E_COMMERCE
TKN000029,1200001029,2026-04-27,130.40,GB,E_COMMERCE
TKN000030,1200001030,2026-04-27,219.10,GB,E_COMMERCE
TKN000031,1200001031,2026-04-27,326.60,GB,E_COMMERCE
TKN000032,1200001032,2026-04-25,519.25,GB,E_COMMERCE
TKN000033,1200001033,2026-04-25,130.40,GB,E_COMMERCE
TKN000034,1200001034,2026-04-25,219.10,GB,E_COMMERCE
TKN000035,1200001035,2026-04-25,326.60,GB,E_COMMERCE
TKN000036,1200001036,2026-04-25,519.25,GB,E_COMMERCE
TKN000037,1200001037,2026-04-25,130.40,GB,E_COMMERCE
TKN000038,1200001038,2026-04-25,219.10,GB,E_COMMERCE
TKN000039,1200001039,2026-04-25,326.60,GB,E_COMMERCE
TKN000040,1200001040,2026-04-25,519.25,GB,E_COMMERCE
TKN000041,1200001041,2026-04-25,130.40,GB,E_COMMERCE
TKN000042,1200001042,2026-04-25,219.10,GB,E_COMMERCE
TKN000043,1200001043,2026-04-25,326.60,GB,E_COMMERCE
TKN000044,1200001088,2026-04-14,143.40,DE,E_COMMERCE
TKN000045,1200001089,2026-04-14,232.10,DE,E_COMMERCE
TKN000046,1200001090,2026-04-14,339.60,DE,E_COMMERCE
TKN000047,1200001091,2026-04-14,528.25,DE,E_COMMERCE
TKN000048,1200001092,2026-04-14,143.40,DE,E_COMMERCE
TKN000049,1200001093,2026-04-14,232.10,DE,E_COMMERCE
TKN000050,1200001094,2026-04-14,339.60,DE,E_COMMERCE
TKN000051,1200001095,2026-04-13,528.25,DE,E_COMMERCE
TKN000052,1200001096,2026-04-13,143.40,DE,E_COMMERCE
TKN000053,1200001097,2026-04-13,232.10,DE,E_COMMERCE
TKN000054,1200001098,2026-04-13,339.60,DE,E_COMMERCE
TKN000055,1200001099,2026-04-13,528.25,DE,E_COMMERCE
TKN000056,1200001100,2026-04-13,143.40,DE,E_COMMERCE
TKN000057,1200001101,2026-04-13,232.10,DE,E_COMMERCE
TKN000058,1200001110,2026-03-11,535.25,GB,E_COMMERCE
TKN000059,1200001111,2026-03-11,150.40,GB,E_COMMERCE
TKN000060,1200001112,2026-03-11,239.10,GB,E_COMMERCE
TKN000061,1200001113,2026-03-11,342.60,GB,E_COMMERCE
TKN000062,1200001114,2026-03-11,535.25,GB,E_COMMERCE
TKN000063,1200001115,2026-03-11,150.40,GB,E_COMMERCE
TKN000064,1200001116,2026-03-11,239.10,GB,E_COMMERCE
TKN000065,1200001117,2026-03-11,342.60,GB,E_COMMERCE
